2024-02-23 21:43:46,375 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Configure stats pid to 168851
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/.config/wandb/settings
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/settings
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/edramos/Documents/MLOPS/ImageClassification-MFG/main.py'}
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_setup.py:_flush():68] Applying login settings: {'mode': 'offline'}
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_init.py:_log_setup():492] Logging user logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/offline-run-20240223_214346-j35hfwot/logs/debug.log
2024-02-23 21:43:46,376 INFO    MainThread:168851 [wandb_init.py:_log_setup():493] Logging internal logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/offline-run-20240223_214346-j35hfwot/logs/debug-internal.log
2024-02-23 21:43:46,377 INFO    MainThread:168851 [wandb_init.py:init():532] calling init triggers
2024-02-23 21:43:46,377 INFO    MainThread:168851 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'architecture': 'convnextv2_tiny', 'epochs': 10, 'batch_size': 8}
2024-02-23 21:43:46,377 INFO    MainThread:168851 [wandb_init.py:init():588] starting backend
2024-02-23 21:43:46,377 INFO    MainThread:168851 [wandb_init.py:init():592] setting up manager
2024-02-23 21:43:46,378 INFO    MainThread:168851 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-23 21:43:46,379 INFO    MainThread:168851 [wandb_init.py:init():599] backend started and connected
2024-02-23 21:43:46,381 INFO    MainThread:168851 [wandb_init.py:init():687] updated telemetry
2024-02-23 21:43:46,392 INFO    MainThread:168851 [wandb_init.py:init():775] starting run threads in backend
2024-02-23 21:43:49,799 INFO    MainThread:168851 [wandb_run.py:_console_start():2114] atexit reg
2024-02-23 21:43:49,799 INFO    MainThread:168851 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-02-23 21:43:49,799 INFO    MainThread:168851 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-02-23 21:43:49,799 INFO    MainThread:168851 [wandb_run.py:_redirect():2059] Redirects installed.
2024-02-23 21:43:49,800 INFO    MainThread:168851 [wandb_init.py:init():817] run started, returning control to user process
2024-02-23 21:49:38,422 INFO    MainThread:168851 [wandb_run.py:_finish():1854] finishing run Research-ER1-zinc-plated-022024/j35hfwot
2024-02-23 21:49:38,422 INFO    MainThread:168851 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-02-23 21:49:38,422 INFO    MainThread:168851 [wandb_run.py:_restore():2066] restore
2024-02-23 21:49:38,422 INFO    MainThread:168851 [wandb_run.py:_restore():2072] restore done
2024-02-23 21:49:39,503 INFO    MainThread:168851 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2024-02-23 21:49:39,504 INFO    MainThread:168851 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
