2024-02-24 14:32:48,053 INFO    MainThread:43227 [wandb_setup.py:_flush():68] Configure stats pid to 43227
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/.config/wandb/settings
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/settings
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/edramos/Documents/MLOPS/ImageClassification-MFG/main.py'}
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:_log_setup():492] Logging user logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/run-20240224_143248-j5p7f0hi/logs/debug.log
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:_log_setup():493] Logging internal logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/run-20240224_143248-j5p7f0hi/logs/debug-internal.log
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:init():532] calling init triggers
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'architecture': 'deit3_base_patch16_224', 'epochs': 10, 'batch_size': 1}
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:init():588] starting backend
2024-02-24 14:32:48,054 INFO    MainThread:43227 [wandb_init.py:init():592] setting up manager
2024-02-24 14:32:48,055 INFO    MainThread:43227 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-24 14:32:48,056 INFO    MainThread:43227 [wandb_init.py:init():599] backend started and connected
2024-02-24 14:32:48,058 INFO    MainThread:43227 [wandb_init.py:init():687] updated telemetry
2024-02-24 14:32:48,074 INFO    MainThread:43227 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2024-02-24 14:32:48,504 INFO    MainThread:43227 [wandb_run.py:_on_init():2134] communicating current version
2024-02-24 14:32:48,612 INFO    MainThread:43227 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-24 14:32:48,612 INFO    MainThread:43227 [wandb_init.py:init():775] starting run threads in backend
2024-02-24 14:32:52,018 INFO    MainThread:43227 [wandb_run.py:_console_start():2114] atexit reg
2024-02-24 14:32:52,018 INFO    MainThread:43227 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-02-24 14:32:52,019 INFO    MainThread:43227 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-02-24 14:32:52,019 INFO    MainThread:43227 [wandb_run.py:_redirect():2059] Redirects installed.
2024-02-24 14:32:52,019 INFO    MainThread:43227 [wandb_init.py:init():817] run started, returning control to user process
2024-02-24 15:01:33,859 INFO    MainThread:43227 [wandb_run.py:_finish():1854] finishing run edramos/MyProject/j5p7f0hi
2024-02-24 15:01:33,859 INFO    MainThread:43227 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-02-24 15:01:33,859 INFO    MainThread:43227 [wandb_run.py:_restore():2066] restore
2024-02-24 15:01:33,859 INFO    MainThread:43227 [wandb_run.py:_restore():2072] restore done
2024-02-24 15:05:44,246 INFO    MainThread:43227 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2024-02-24 15:05:44,247 INFO    MainThread:43227 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2024-02-24 15:05:44,251 INFO    MainThread:43227 [wandb_run.py:_footer_sync_info():3398] logging synced files
