2024-03-03 16:38:24,191 INFO    MainThread:10626 [wandb_setup.py:_flush():68] Configure stats pid to 10626
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/.config/wandb/settings
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_setup.py:_flush():68] Loading settings from /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/settings
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/edramos/Documents/MLOPS/ImageClassification-MFG/main.py'}
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_init.py:_log_setup():492] Logging user logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/run-20240303_163824-8kc0ykrx/logs/debug.log
2024-03-03 16:38:24,192 INFO    MainThread:10626 [wandb_init.py:_log_setup():493] Logging internal logs to /home/edramos/Documents/MLOPS/ImageClassification-MFG/wandb/run-20240303_163824-8kc0ykrx/logs/debug-internal.log
2024-03-03 16:38:24,193 INFO    MainThread:10626 [wandb_init.py:init():532] calling init triggers
2024-03-03 16:38:24,193 INFO    MainThread:10626 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'architecture': 'efficientnet_b0', 'epochs': 10, 'batch_size': 8}
2024-03-03 16:38:24,193 INFO    MainThread:10626 [wandb_init.py:init():588] starting backend
2024-03-03 16:38:24,193 INFO    MainThread:10626 [wandb_init.py:init():592] setting up manager
2024-03-03 16:38:24,195 INFO    MainThread:10626 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-03 16:38:24,197 INFO    MainThread:10626 [wandb_init.py:init():599] backend started and connected
2024-03-03 16:38:24,199 INFO    MainThread:10626 [wandb_init.py:init():687] updated telemetry
2024-03-03 16:38:24,208 INFO    MainThread:10626 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2024-03-03 16:38:24,702 INFO    MainThread:10626 [wandb_run.py:_on_init():2134] communicating current version
2024-03-03 16:38:24,773 INFO    MainThread:10626 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-03 16:38:24,773 INFO    MainThread:10626 [wandb_init.py:init():775] starting run threads in backend
2024-03-03 16:38:28,266 INFO    MainThread:10626 [wandb_run.py:_console_start():2114] atexit reg
2024-03-03 16:38:28,266 INFO    MainThread:10626 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-03-03 16:38:28,266 INFO    MainThread:10626 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-03-03 16:38:28,266 INFO    MainThread:10626 [wandb_run.py:_redirect():2059] Redirects installed.
2024-03-03 16:38:28,266 INFO    MainThread:10626 [wandb_init.py:init():817] run started, returning control to user process
2024-03-03 16:38:53,641 INFO    MainThread:10626 [wandb_run.py:_finish():1854] finishing run edramos/MyProject/8kc0ykrx
2024-03-03 16:38:53,641 INFO    MainThread:10626 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-03-03 16:38:53,641 INFO    MainThread:10626 [wandb_run.py:_restore():2066] restore
2024-03-03 16:38:53,641 INFO    MainThread:10626 [wandb_run.py:_restore():2072] restore done
2024-03-03 16:39:06,682 INFO    MainThread:10626 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2024-03-03 16:39:06,684 INFO    MainThread:10626 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2024-03-03 16:39:06,688 INFO    MainThread:10626 [wandb_run.py:_footer_sync_info():3398] logging synced files
